miRNA	Metabolite	coef_Endo3
hsa-miR-150-5p	1,5-AG / 1-deoxyglucose	0.103213406
hsa-miR-224-5p	1,5-AG / 1-deoxyglucose	-0.243083451
hsa-miR-29a-3p	1,5-AG / 1-deoxyglucose	0.177366252
hsa-miR-3158-3p	1,5-AG / 1-deoxyglucose	-0.344899323
hsa-miR-126-5p	10-HDoHE/14-HDoHE	-0.041517514
hsa-miR-142-5p	10-HDoHE/14-HDoHE	-0.088273185
hsa-miR-143-3p	10-HDoHE/14-HDoHE	-0.083241499
hsa-miR-145-3p	10-HDoHE/14-HDoHE	-0.039887761
hsa-miR-146a-5p	10-HDoHE/14-HDoHE	-0.042616763
hsa-miR-16-5p	10-HDoHE/14-HDoHE	-0.095081465
hsa-miR-181a-2-3p	10-HDoHE/14-HDoHE	-0.072738744
hsa-miR-1843	10-HDoHE/14-HDoHE	-0.043112016
hsa-miR-199a-3pXhsa-miR-199b-3p	10-HDoHE/14-HDoHE	-0.071587791
hsa-miR-199a-5p	10-HDoHE/14-HDoHE	-0.087225483
hsa-miR-19a-3p	10-HDoHE/14-HDoHE	-0.018780829
hsa-let-7a-3p	Aspartic acid	0.136755908
hsa-let-7a-3p	acetaminophen	0.137822078
hsa-miR-21-3p	10-HDoHE/14-HDoHE	-0.276737852
hsa-miR-214-3p	10-HDoHE/14-HDoHE	-0.006584393
hsa-miR-21-5p	10-HDoHE/14-HDoHE	-0.024710614
hsa-miR-24-3p	10-HDoHE/14-HDoHE	-0.058732451
hsa-miR-27a-3p	10-HDoHE/14-HDoHE	-0.011682657
hsa-miR-27b-3p	10-HDoHE/14-HDoHE	-0.0269832
hsa-miR-28-5p	10-HDoHE/14-HDoHE	-0.072911162
hsa-miR-29a-3p	10-HDoHE/14-HDoHE	-0.142280289
hsa-miR-345-5p	10-HDoHE/14-HDoHE	-0.095195646
hsa-miR-361-5p	10-HDoHE/14-HDoHE	-0.017376195
hsa-miR-363-3p	10-HDoHE/14-HDoHE	-0.001330293
hsa-miR-370-3p	10-HDoHE/14-HDoHE	-0.159924235
hsa-miR-374a-5p	10-HDoHE/14-HDoHE	-0.111814064
hsa-let-7a-3p	10-HDoHE/14-HDoHE	0.164625867
hsa-miR-421	10-HDoHE/14-HDoHE	-0.00232841
hsa-miR-425-3p	10-HDoHE/14-HDoHE	-0.088728615
hsa-miR-454-5p	10-HDoHE/14-HDoHE	-0.083697242
hsa-miR-484	10-HDoHE/14-HDoHE	-0.024802969
hsa-miR-486-5p	10-HDoHE/14-HDoHE	0.132975649
hsa-miR-501-3p	10-HDoHE/14-HDoHE	0.16534686
